Capacities	Resizes
709000		708995
710000		709995
711000		710995
712000		711995
713000		712995
714000		713995
715000		714995
716000		715995
717000		716995
718000		717995
719000		718995
720000		719995
721000		720995
722000		721995
723000		722995
724000		723995
725000		724995
726000		725995
727000		726995
728000		727995
729000		728995
730000		729995
731000		730995
732000		731995
733000		732995
734000		733995
735000		734995
736000		735995
737000		736995
738000		737995
739000		738995
740000		739995
741000		740995
742000		741995
743000		742995
744000		743995
745000		744995
746000		745995
747000		746995
748000		747995
749000		748995
750000		749995
751000		750995
752000		751995
753000		752995
754000		753995
755000		754995
756000		755995
757000		756995
758000		757995
759000		758995
760000		759995
761000		760995
762000		761995
763000		762995
764000		763995
765000		764995
766000		765995
767000		766995
768000		767995
769000		768995
770000		769995
771000		770995
772000		771995
773000		772995
774000		773995
775000		774995
776000		775995
777000		776995
778000		777995
779000		778995
780000		779995
781000		780995
782000		781995
783000		782995
784000		783995
785000		784995
786000		785995
787000		786995
788000		787995
789000		788995
790000		789995
791000		790995
792000		791995
793000		792995
794000		793995
795000		794995
796000		795995
797000		796995
798000		797995
799000		798995
800000		799995
801000		800995
802000		801995
803000		802995
804000		803995
805000		804995
806000		805995
807000		806995
808000		807995
809000		808995
810000		809995
811000		810995
812000		811995
813000		812995
814000		813995
815000		814995
816000		815995
817000		816995
818000		817995
819000		818995
820000		819995
821000		820995
822000		821995
823000		822995
824000		823995
825000		824995
826000		825995
827000		826995
828000		827995
829000		828995
830000		829995
831000		830995
832000		831995
833000		832995
834000		833995
835000		834995
836000		835995
837000		836995
838000		837995
839000		838995
840000		839995
841000		840995
842000		841995
843000		842995
844000		843995
845000		844995
846000		845995
847000		846995
848000		847995
849000		848995
850000		849995
851000		850995
852000		851995
853000		852995
854000		853995
855000		854995
856000		855995
857000		856995
858000		857995
859000		858995
860000		859995
861000		860995
862000		861995
863000		862995
864000		863995
865000		864995
866000		865995
867000		866995
868000		867995
869000		868995
870000		869995
871000		870995
872000		871995
873000		872995
874000		873995
875000		874995
876000		875995
877000		876995
878000		877995
879000		878995
880000		879995
881000		880995
882000		881995
883000		882995
884000		883995
885000		884995
886000		885995
887000		886995
888000		887995
889000		888995
890000		889995
891000		890995
892000		891995
893000		892995
894000		893995
895000		894995
896000		895995
897000		896995
898000		897995
899000		898995
900000		899995
901000		900995
902000		901995
903000		902995
904000		903995
905000		904995
906000		905995
907000		906995
908000		907995
909000		908995
910000		909995
911000		910995
912000		911995
913000		912995
914000		913995
915000		914995
916000		915995
917000		916995
918000		917995
919000		918995
920000		919995
921000		920995
922000		921995
923000		922995
924000		923995
925000		924995
926000		925995
927000		926995
928000		927995
929000		928995
930000		929995
931000		930995
932000		931995
933000		932995
934000		933995
935000		934995
936000		935995
937000		936995
938000		937995
939000		938995
940000		939995
941000		940995
942000		941995
943000		942995
944000		943995
945000		944995
946000		945995
947000		946995
948000		947995
949000		948995
950000		949995
951000		950995
952000		951995
953000		952995
954000		953995
955000		954995
956000		955995
957000		956995
958000		957995
959000		958995
960000		959995
961000		960995
962000		961995
963000		962995
964000		963995
965000		964995
966000		965995
967000		966995
968000		967995
969000		968995
970000		969995
971000		970995
972000		971995
973000		972995
974000		973995
975000		974995
976000		975995
977000		976995
978000		977995
979000		978995
980000		979995
981000		980995
982000		981995
983000		982995
984000		983995
985000		984995
986000		985995
987000		986995
988000		987995
989000		988995
